strategy,start,end,final_equity,total_return,cagr,max_drawdown,trade_count,trades_per_month,win_rate,profit_factor,equity_volatility
momentum,2015-01-05,2026-09-23,21.03399523070934,-0.9789660047692906,-0.2808048756875139,-0.9992851610309501,212,1.5080042065903247,0.3915094339622642,0.7695794127464214,6.33778024527718
trend,2015-01-05,2026-09-23,11.551366100147428,-0.9884486338998526,-0.316672583859013,-0.9992965488944964,131,0.9318327880345875,0.4198473282442748,0.5557471356581314,6.388073466770442
breakout,2015-01-05,2026-09-23,286.12440930450305,-0.713875590695497,-0.10130522247468665,-0.997306221052468,139,0.9887386071512034,0.37410071942446044,0.8465349457613074,8.454696474663267
shock_reaction,2015-01-05,2026-09-23,79.28217252248061,-0.9207178274775194,-0.19455660621002357,-0.9891494371392522,263,1.8707788034587518,0.467680608365019,0.8786139646729468,7.4289556762219595
slow_momentum,2015-01-05,2026-09-23,25.878363413087794,-0.9741216365869122,-0.2679675999132619,-0.995669263082247,61,0.4339068707641972,0.4262295081967213,0.723475096178849,7.824771455341053
volume_momentum,2015-01-05,2026-09-23,535.5645694301602,-0.4644354305698398,-0.05190529022495871,-0.9981842939954013,109,0.7753417854638933,0.3577981651376147,0.9168031577298845,17.712234203213697
trend_pullback,2015-01-05,2026-09-23,49.961223669372096,-0.9500387763306279,-0.2256862470552431,-0.9972542077762065,652,4.637824258004206,0.4570552147239264,0.814168027019416,3.162711239844237
active_reversal,2015-01-05,2026-09-23,23.31157025017357,-0.9766884297498264,-0.2744656461231839,-0.9885897111359958,275,1.9561375321336758,0.56,0.7245090542385398,0.6880912610387914
breakout_volume,2015-01-05,2026-09-23,288.68199929214495,-0.711318000707855,-0.10062230646062809,-0.9987609656163943,136,0.9673989249824725,0.39705882352941174,0.9625223568966015,8.443730637854067
high_volume_reversal,2015-01-05,2026-09-23,302.55468647361545,-0.6974453135263845,-0.09701179058317067,-0.9924217683650132,463,3.2934242813741523,0.5485961123110151,0.906315614938711,5.304950278876051
downturn_reversal,2015-01-05,2026-09-23,406.08627141697093,-0.593913728583029,-0.07404014914643264,-0.8833761655979719,195,1.3870793409675157,0.5538461538461539,0.845640873923192,0.38688317255848353
relative_contrarian,2015-01-05,2026-09-23,1.42650944229427,-0.9985734905577057,-0.42839962896974704,-0.9998404387436209,343,2.4398369946249123,0.4139941690962099,0.7955796642410105,1.671294040028785
regime_adaptive,2015-01-05,2026-09-23,458.0705297961412,-0.5419294702038588,-0.06447021994947133,-0.9958447133111816,105,0.7468888759055854,0.42857142857142855,0.9501044969937299,9.903376672624457
