pattern,horizon_days,period,observations,mean_return,median_return,win_rate,p10,p90,net_mean_vs_hurdle
momentum_60_uptrend,5,discovery,149107,0.0015409005235552655,0.0,0.4297450823904981,-0.07031243451638003,0.07142860944173757,-0.008681415265918417
momentum_60_uptrend,5,validation,54946,0.002386949878123833,0.0,0.4581771193535471,-0.05667639378413225,0.061912169126403294,-0.00783536591134985
slow_momentum_12_1,5,discovery,156804,0.0011742974956782865,0.0,0.43377082217290375,-0.06159428256113253,0.061224527313940014,-0.009048018293795397
slow_momentum_12_1,5,validation,64096,0.0019577112830121575,0.0,0.4637886919620569,-0.05128207989536593,0.05555550036607193,-0.008264604506461526
pullback_in_uptrend,5,discovery,24436,0.0016405118638678647,0.0,0.45686691766246523,-0.06976746893883173,0.07046766560638495,-0.008581803925605818
pullback_in_uptrend,5,validation,8287,0.000672245608528287,0.0,0.4706166284542054,-0.06221080305473048,0.0633139882103207,-0.009550070180945397
reversal_bottom10,5,discovery,13564,-0.0007277299690170792,0.0,0.4444116779711,-0.09392263119279098,0.08675536704454025,-0.010950045758490764
reversal_bottom10,5,validation,5439,0.0009762155095359054,0.0,0.4756389042103328,-0.06796115999206502,0.06795213404725968,-0.009246100279937778
panic_reversal_volume,5,discovery,1587,-0.014176890311390212,-0.00980391240220746,0.3950850661625709,-0.13643077256720126,0.10471396479738576,-0.024399206100863893
panic_reversal_volume,5,validation,495,0.013648316675317882,0.012766047245027501,0.5515151515151515,-0.07638636035874719,0.11602161926263989,0.0034260008858441986
relative_reversal_bottom20,5,discovery,21515,0.002039188212102445,0.0,0.45749477108993725,-0.07484215689391746,0.07758621132614878,-0.00818312757737124
relative_reversal_bottom20,5,validation,7639,0.0010919101334838524,0.0,0.46511323471658594,-0.060822567750096465,0.06578949019519258,-0.009130405655989831
breakout_plus_volume,5,discovery,19555,-0.001543199419598622,-0.008810564358837869,0.39145998465865506,-0.08750000335276102,0.08108111010696084,-0.011765515209072305
breakout_plus_volume,5,validation,6696,0.002328083992379374,-0.004956693159966996,0.4302568697729988,-0.06666667943048965,0.0749999254941971,-0.007894231797094309
volatility_contraction_breakout,5,discovery,4403,-0.0001631914443579301,-0.0083333250549108,0.392913922325687,-0.0782609002125968,0.07142858967489163,-0.010385507233831614
volatility_contraction_breakout,5,validation,1379,-0.0017173973966924832,-0.005813947847045475,0.4205946337926033,-0.06405717531029069,0.06625165699112945,-0.011939713186166167
relative_strength_20,5,discovery,72695,0.0010367770310095628,-0.003003000207918216,0.4222436206066442,-0.08494271910476223,0.08490578588788625,-0.009185538758464121
relative_strength_20,5,validation,26229,0.0033121336800250676,0.0,0.45750886423424453,-0.0654244076851237,0.07142860065647279,-0.006910182109448616
range_expansion_reversal,5,discovery,2868,-0.005049022010210048,0.0,0.4675732217573222,-0.10970801634402032,0.08764999626204388,-0.015271337799683732
