pattern,observations,mean_return,net_mean,win_rate,horizon_days,period
momentum_20_0_ma100,108462,0.002458120638220208,-0.007764195151253476,0.4269513746750014,5,development
momentum_20_0_ma100,42859,-3.2727332404977594e-05,-0.010255043121878662,0.42856809538253343,5,selection
momentum_20_0_ma100,56794,0.0030844496777540217,-0.007137866111719662,0.46034792407648695,5,holdout
momentum_20_0_ma100,108427,0.005219259945732553,-0.00500305584374113,0.4332684663414094,10,development
momentum_20_0_ma100,42859,0.0001332057882980637,-0.01008911000117562,0.429594717562239,10,selection
momentum_20_0_ma100,56813,0.005809258237581805,-0.004413057551891878,0.4705789167972119,10,holdout
momentum_20_0_ma100,108424,0.008395999156028837,-0.0018263166334448466,0.43553087877222757,20,development
momentum_20_0_ma100,42859,-0.0005606986778729319,-0.010783014467346615,0.42765813481415804,20,selection
momentum_20_0_ma100,56819,0.01110621090003141,0.000883895110557727,0.4700540312219504,20,holdout
momentum_20_0_ma100,108455,0.01593135465425069,0.0057090388647770066,0.4341063113733807,40,development
momentum_20_0_ma100,42859,0.00026240079672353543,-0.009959914992750148,0.43902097575771715,40,selection
momentum_20_0_ma100,56620,0.015061640205872667,0.004839324416398984,0.4569056870363829,40,holdout
momentum_20_0_ma200,94864,0.0032442384320384467,-0.006978077357435237,0.4305110473941643,5,development
momentum_20_0_ma200,38058,0.000725626495055864,-0.009496689294417819,0.4349414052236061,5,selection
momentum_20_0_ma200,53097,0.003009614664252422,-0.0072127011252212615,0.46106183023522984,5,holdout
momentum_20_0_ma200,94844,0.006648588296126954,-0.0035737274933467294,0.43853063978744045,10,development
momentum_20_0_ma200,38058,0.0013763297547839622,-0.008845986034689722,0.4392506174785853,10,selection
momentum_20_0_ma200,53116,0.005923906256705199,-0.004298409532768484,0.4735672866932751,10,holdout
momentum_20_0_ma200,94826,0.010889314532183796,0.0006669987427101124,0.4414190200999726,20,development
momentum_20_0_ma200,38058,0.0010962727531434204,-0.009126043036330264,0.4374638709338378,20,selection
momentum_20_0_ma200,53117,0.01085678010083122,0.0006344643113575365,0.47361485023627087,20,holdout
momentum_20_0_ma200,94858,0.02143164251892651,0.011209326729452827,0.443441776128529,40,development
momentum_20_0_ma200,38058,0.0027348401610435384,-0.007487475628430145,0.4465027063955016,40,selection
momentum_20_0_ma200,52934,0.01667610382788736,0.006453788038413677,0.46134809385272224,40,holdout
momentum_20_3_ma100,84454,0.0023873198365364683,-0.007834995952937216,0.4218154261491463,5,development
momentum_20_3_ma100,32804,-0.00021507370670080457,-0.010437389496174489,0.42330203633703206,5,selection
momentum_20_3_ma100,43134,0.003425299400885934,-0.00679701638858775,0.45926647192469977,5,holdout
momentum_20_3_ma100,84421,0.005351160547727232,-0.004871155241746451,0.4276424112483861,10,development
momentum_20_3_ma100,32804,-0.0003379376453357718,-0.010560253434809456,0.42162541153517863,10,selection
momentum_20_3_ma100,43147,0.006486140604010713,-0.003736175185462971,0.4696734419542494,10,holdout
